ids,instructions,Verbs
10b96d6963,Heat oven to 350 degrees Fahrenheit.,heat
10b96d6963,Line baking sheet with parchment paper.,line
10b96d6963,Place sun-dried tomatoes and boiling water in small bowl.,"place,boiling"
10b96d6963,Cover,cover
10b96d6963,let stand 5 minutes or until soft.,stand
10b96d6963,Remove tomatoes from bowl,remove
10b96d6963,cool.,cool
10b96d6963,Squeeze out moisture,squeeze
10b96d6963,chop.,chop
10b96d6963,"In large bowl, gently mix together sun-dried tomatoes, turkey, oats, cheese, eggs, onion, thyme, pepper and salt.",gently mix
10b96d6963,Divide into 4 portions.,divide
10b96d6963,Gently form each portion into loaf shape,gently form
10b96d6963,place on baking sheet.,place
10b96d6963,Press 2 sage leaves onto top of each loaf,press
10b96d6963,drizzle loaves with oil.,drizzle
10b96d6963,Bake 25-30 minutes or until no longer pink in center and internal temperature reaches 170 degrees Fahrenheit.,bake
eaf4915792,Combine cream cheese and pesto in food processor bowl fitted with metal blade,combine
eaf4915792,pulse until well mixed.,pulse
eaf4915792,Spread about 1/4 cup cream cheese mixture over each tortilla leaving 1-inch border on all sides.,spread
eaf4915792,"Layer each with 10 spinach leaves, 5 slices salami and 3 slices cheese .",layer
eaf4915792,Roll each tortilla up tightly,roll tightly
eaf4915792,wrap in plastic food wrap.,wrap
eaf4915792,Refrigerate at least 2 hours or overnight.,refrigerate
eaf4915792,Cut each tortilla into 1-inch slices.,cut
2c14441761,Preheat oven to 350 F.,preheat
2c14441761,"In a large bowl, cream butter and powdered sugar together until light and fluffy.",cream
2c14441761,"Stir in vanilla, salt, and orange zest, then blend in the flour.","stir,blend"
2c14441761,Add the currants and mix until combined.,"add,mix"
2c14441761,"Take about 1/2 tablespoonful sized scoops of dough and roll into balls, then flatten gently between your hands (buttons should be about 1/4 inch thick and an inch in diameter).","take,roll,flatten gently"
2c14441761,Place on parchment paper or Silpat-lined baking sheets and prick them once in the center with a knife or skewer.,"place,prick"
2c14441761,"Sprinkle with granulated sugar, if using.",sprinkle
2c14441761,"Bake for about 12-15 minutes, or until the buttons are set and lightly golden around the edges.",bake
2c14441761,"Remove from oven, let them cool completely and store in an airtight container.","remove,cool,store"
81c9df928b,Preheat oven to 350 degrees.,preheat
81c9df928b,Clean peppers thoroughly inside and out.,clean
81c9df928b,Mix by hand all ingredients except for the pasta sauce and the mozzarella cheese.,mix
81c9df928b,"If, after adding can of tomatoes mixture still feels too ""wet"", add more rice until the consistency is a little more solid.","adding,add"
81c9df928b,More Parmesan cheese may be added if wanted.,added
81c9df928b,Boil peppers in a large pot of water for about five minutes or until soft.,boil
81c9df928b,place inside your baking/casserole dish when each is finished.,place
81c9df928b,Open jar of pasta sauce and add one full tablespoon inside each pepper.,"open,add"
81c9df928b,I like to use Prego.,none
81c9df928b,"Using a clean tablespoon, add stuffing mix by spoonful until each pepper is completely full, be careful not to break them.",add
81c9df928b,Dump the rest of the pasta sauce into the baking/casserole dish to cover the bottom of the peppers.,dump
81c9df928b,"Add a small amount of water to the jar, swish around and add to pan.","add,swish,add"
81c9df928b,"After about 2 1/2 hours, remove peppers from oven and top with mozzarella cheese.","remove,top"
81c9df928b,Return to oven for another half hour or until cheese melts.,return
d68e7dfd4a,Put a large shallow flameproof roasting pan in middle of oven and preheat to 400F.,"put,preheat"
d68e7dfd4a,Pat duck dry and trim off any excess fat.,"pat,trim"
d68e7dfd4a,"Score skin in a crosshatch pattern at 1/2-inch intervals with a sharp knife, then season with 1 tsp salt and 1/2 teaspoon pepper (total).","score,season"
